1,"Mayo Clinic, Rochester, MN, United States"
2,"University College London, London, United Kingdom"
3,"University of Southern California, Los Angeles, CA, United States"
4,"University of California, San Francisco, San Francisco, CA, United States"
5,"Massachusetts General Hospital, Harvard Medical School, Charlestown, MA, United States"
6,"Massachusetts General Hospital, Harvard Medical School, Boston, MA, United States"
7,"University of Warwick, Coventry, United Kingdom"
8,"Penn State University, State College, PA, United States"
9,"Broad Institute of MIT and Harvard, Cambridge, MA, United States"
10,"Massachusetts Institute of Technology, Cambridge, MA, United States"
11,"University of California, San Diego, San Diego, CA, United States"
12,"VA San Diego Healthcare System, San Diego, CA, United States"
13,"University of Gothenburg, Gothenburg, Sweden"
14,"University of California, Berkeley, Berkeley, CA, United States"
15,"University of Pennsylvania, Philadelphia, PA, United States"
16,"Nanjing Medical University, Nanjing, Jiangsu, China"
17,"Qingdao University, Qingdao, Shandong, China"
18,"Qingdao Municipal Hospital, Qingdao, China"
19,"Nanjing University of Aeronautics and Astronautics, Nanjing, Jiangsu, China"
20,"King's College London, London, United Kingdom"
21,"NIHR Biomedical Research, London, United Kingdom"
22,"Stockholm University, Stockholm, Sweden"
23,"University of Perugia, Perugia, Italy"
24,"University of Toulouse III, Toulouse, France"
25,"Medical University of Lodz, Lodz, Poland"
26,"University of Eastern Finland, Kuopio, Finland"
27,"University of Oxford, Oxford, United Kingdom"
28,"Korea University, Seoul, South Korea"
29,"University of Michigan, Ann Arbor, MI, United States"
30,"University of California, Los Angeles, Los Angeles, CA, United States"
31,"University of California, Irvine, Irvine, CA, United States"
32,"Oakland University, Rochester Hills, MI, United States"
33,"Monash University, Melbourne, VIC, Australia"
34,"Cruces University Hospital, Barakaldo, Spain"
35,"Arizona State University, Tempe, AZ, United States"
36,"Mayo Clinic, Scottsdale, AZ, United States"
37,"University of Arizona, Phoenix, AZ, United States"
38,"Barrow Neurological Institute, Phoenix, AZ, United States"
39,"New York University, New York, NY, United States"
40,"University of Colorado, Aurora, CO, United States"
41,"VU University, Amsterdam, Netherlands"
42,"University of Bonn, Bonn, Germany"
43,"Washington University, St Louis, MO, United States"
44,"German Center for Neurodegenerative Diseases, Bonn, Germany"
45,"Friedrich-Alexander University of Erlangen, Nuremberg, Germany"
46,"Department of Psychiatry, Charite, Berlin, Germany"
47,"Maastricht University, Maastricht, Netherlands"
48,"Erasmus MC University, Rotterdam, Netherlands"
49,"Vanderbilt University, Nashville, TN, United States"
50,"Boston University, Boston, MA, United States"
51,"Indiana University, Indianapolis, IN, United States"
52,"Rose-Hulman Institute of Technology, Terre Haute, IN, United States"
53,"Arizona Alzheimer's Consortium, Phoenix, AZ, United States"
54,"Eli Lilly and Company, Indianapolis, IN, United States"
55,"University of Arizona, Tucson, AZ, United States"
56,"University of Queensland, Brisbane, QLD, Australia"
57,"Queensland Institute of Medical Research, Brisbane, QLD, Australia"
58,"VTT Technical Research Centre of Finland, Tampere, Finland"
59,"Aristotle University of Thessaloniki, Thessaloniki, Greece"
60,"National Institute of Health Research, London, United Kingdom"
61,"Uppsala University, Uppsala, Sweden"
62,"Brigham and Women's Hospital, Harvard Medical School, Boston, MA, United States"
63,"University of Toulouse, Toulouse, France"
64,"AstraZeneca R and D, Stockholm, Sweden"
65,"Dartmouth College, Hanover, NH, United States"
66,"Dartmouth college, Lebanon, NH, United States"
67,"Air Beijing Dongjiao Lane Community Health, Beijing, China"
68,"Huawei Noah's Ark Lab, Hong Kong, China"
69,"Stroke Center, Goyang-shi, South Korea"
70,"Inje University, Goyang-shi, South Korea"
71,"Ilsan Hospital, Goyang-shi, South Korea"
72,"Kyung Hee University, Seoul, South Korea"
73,"Soonchunhyang University, Bucheon-shi, South Korea"
74,"University of Texas at Arlington, Arlington, TX, United States"
75,"University of Minnesota, Minneapolis, MN, United States"
76,"Douglas Mental Health University Institute, Montreal, QC, Canada"
77,"University of Liege, Liege, Belgium"
78,"GlaxoSmithKline, Stevenage, United Kingdom"
79,"University of Amsterdam, Amsterdam, Netherlands"
80,"University of Washington, Seattle, WA, United States"
81,"Brown University, Providence, RI, United States"
82,"Rhode Island Hospital, Providence, RI, United States"
83,"Miriam Hospital, Providence, RI, United States"
84,"Harvard University, Boston, MA, United States"
85,"Brigham Young University, Provo, UT, United States"
86,"Pfizer Inc, Groton, CT, United States"
87,"Universidad Andres Bello, Santiago, Chile"
88,"University of Concepcion, Concepcion, Chile"
89,"University of Melbourne, Melbourne, VIC, Australia"
90,"Seoul National University, Seoul, South Korea"
91,"Children's Hospital of Philadelphia, Philadelphia, PA, United States"
92,"Mayo Clinic, Jacksonville, FL, United States"
93,"VA Boston Healthcare System, Boston, MA, United States"
94,"VA Medical Center, Hines, IL, United States"
95,"Loyola University Chicago, Maywood, IL, United States"
96,"Neurotez Inc, Bridgewater, NJ, United States"
97,"University of Kentucky, Lexington, KY, United States"
98,"University of Texas at San Antonio, San Antonio, TX, United States"
99,"Stanford University, Stanford, CA, United States"
100,"Children's Hospital Los Angeles, Los Angeles, CA, United States"
101,"Feinstein Institute for Medical Research, Manhasset, NY, United States"
102,"Hermanas Hospitalarias, Barcelona, Spain"
